Hero,Rank,Win Rate,Equipment,Equipment Win Rate,Counters,Synergies
c2027,Ranking: 16 / 335,54.81,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_cri_dmg', 'set_penetrate'], '3': ['set_speed', 'set_torrent'], '4': ['set_cri', 'set_cri_dmg']}","{'0': '59.13', '1': '52.43', '2': '53.54', '3': '52.43', '4': '55'}","['c5110', 'c2011', 'c2112']","['c2125', 'c2011', 'c2074']"
c3122,Ranking: 107 / 335,45.45,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3134,Ranking: 292 / 335,18.75,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_counter'], '2': ['set_cri', 'set_speed'], '3': ['set_acc', 'set_speed'], '4': ['set_counter', 'set_max_hp']}","{'0': '33.33', '1': '0', '2': '0', '3': '0', '4': '0'}","['c5110', 'c2011', 'c1104']","['c1171', 'c1144', 'c2036']"
c4144,Ranking: 132 / 335,44.02,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_cri_dmg', 'set_penetrate'], '3': ['set_cri', 'set_cri_dmg'], '4': ['set_penetrate', 'set_vampire']}","{'0': '45.83', '1': '42.65', '2': '45.88', '3': '40', '4': '45.65'}","['c5110', 'c2011', 'c2112']","['c5110', 'c2011', 'c1103']"
c2127,Ranking: 78 / 335,48.14,"{'0': ['set_cri_dmg', 'set_penetrate'], '1': ['set_penetrate', 'set_speed'], '2': ['set_cri_dmg'], '3': ['set_penetrate', 'set_torrent', 'set_torrent'], '4': ['set_counter', 'set_penetrate']}","{'0': '48.74', '1': '49.32', '2': '51.01', '3': '50', '4': '40.16'}","['c5110', 'c2011', 'c1103']","['c1133', 'c2112', 'c1142']"
c2028,Ranking: 262 / 335,30.67,"{'0': ['set_speed'], '1': ['set_res', 'set_speed'], '2': ['set_acc', 'set_speed'], '3': ['set_max_hp', 'set_speed'], '4': ['set_cri', 'set_speed']}","{'0': '38.89', '1': '41.18', '2': '35.71', '3': '20', '4': '33.33'}","['c1104', 'c1133', 'c5110']","['c2011', 'c5110', 'c2112']"
c4105,Ranking: 181 / 335,40.45,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_res', 'set_speed'], '2': ['set_speed'], '3': ['set_def', 'set_max_hp', 'set_res'], '4': ['set_acc', 'set_max_hp', 'set_max_hp']}","{'0': '39.32', '1': '34', '2': '48.39', '3': '64.71', '4': '62.5'}","['c2112', 'c2011', 'c5110']","['c2165', 'c4144', 'c2074']"
c1032,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1142,Ranking: 69 / 335,48.97,"{'0': ['set_cri', 'set_speed'], '1': ['set_penetrate', 'set_speed'], '2': ['set_speed'], '3': ['set_speed', 'set_torrent'], '4': ['set_acc', 'set_speed']}","{'0': '47.68', '1': '50.19', '2': '50.64', '3': '48.76', '4': '50.94'}","['c5110', 'c2011', 'c2112']","['c2112', 'c1133', 'c2011']"
c3021,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
