Match Number,Pick Order,Match Result,Team,Hero,First Pick
36,1,Loss,Enemy Team,c2125,1
36,4,Loss,Enemy Team,c2101,1
36,5,Loss,Enemy Team,c1171,1
36,8,Loss,Enemy Team,c1022,1
36,9,Loss,Enemy Team,c1156,1
37,2,Win,My Team,c5001,0
37,3,Win,My Team,c1171,0
37,6,Win,My Team,c2112,0
37,7,Win,My Team,c1159,0
37,10,Win,My Team,c1104,0
37,1,Loss,Enemy Team,c2126,1
37,4,Loss,Enemy Team,c1117,1
37,5,Loss,Enemy Team,c1156,1
37,8,Loss,Enemy Team,c2053,1
37,9,Loss,Enemy Team,c1137,1
38,2,Win,My Team,c5001,0
38,3,Win,My Team,c1171,0
38,6,Win,My Team,c2112,0
38,7,Win,My Team,c1159,0
38,10,Win,My Team,c1104,0
38,1,Loss,Enemy Team,c2126,1
38,4,Loss,Enemy Team,c1117,1
38,5,Loss,Enemy Team,c1070,1
38,8,Loss,Enemy Team,c1129,1
38,9,Loss,Enemy Team,c1133,1
39,2,Win,My Team,c5110,0
39,3,Win,My Team,c5001,0
39,6,Win,My Team,c1153,0
39,7,Win,My Team,c1134,0
39,10,Win,My Team,c2095,0
39,1,Loss,Enemy Team,c2113,1
39,4,Loss,Enemy Team,c2126,1
39,5,Loss,Enemy Team,c1133,1
39,8,Loss,Enemy Team,c5046,1
39,9,Loss,Enemy Team,c1055,1
40,2,Loss,My Team,c1133,0
40,3,Loss,My Team,c5046,0
40,6,Loss,My Team,c2112,0
40,7,Loss,My Team,c2047,0
40,10,Loss,My Team,c1055,0
40,1,Win,Enemy Team,c2128,1
40,4,Win,Enemy Team,c2111,1
40,5,Win,Enemy Team,c1142,1
40,8,Win,Enemy Team,c2004,1
40,9,Win,Enemy Team,c1150,1
41,2,Win,My Team,c5110,0
41,3,Win,My Team,c5001,0
41,6,Win,My Team,c2126,0
41,7,Win,My Team,c5004,0
41,10,Win,My Team,c5050,0
41,1,Loss,Enemy Team,c2113,1
41,4,Loss,Enemy Team,c2070,1
41,5,Loss,Enemy Team,c2111,1
41,8,Loss,Enemy Team,c2101,1
41,9,Loss,Enemy Team,c1117,1
42,2,Win,My Team,c5110,0
42,3,Win,My Team,c2070,0
42,6,Win,My Team,c2112,0
42,7,Win,My Team,c2127,0
42,10,Win,My Team,c2095,0
42,1,Loss,Enemy Team,c1076,1
42,4,Loss,Enemy Team,c1171,1
42,5,Loss,Enemy Team,c5001,1
42,8,Loss,Enemy Team,c1153,1
42,9,Loss,Enemy Team,c1148,1
43,2,Win,My Team,c2112,0
43,3,Win,My Team,c5046,0
43,6,Win,My Team,c1133,0
43,7,Win,My Team,c2127,0
43,10,Win,My Team,c1170,0
43,1,Loss,Enemy Team,c2125,1
43,4,Loss,Enemy Team,c1070,1
43,5,Loss,Enemy Team,c2113,1
43,8,Loss,Enemy Team,c1117,1
43,9,Loss,Enemy Team,c5016,1
44,2,Loss,My Team,c2125,0
44,3,Loss,My Team,c1070,0
44,6,Loss,My Team,c2112,0
44,7,Loss,My Team,c4158,0
44,10,Loss,My Team,c2106,0
44,1,Win,Enemy Team,c5110,1
44,4,Win,Enemy Team,c2011,1
44,5,Win,Enemy Team,c2024,1
44,8,Win,Enemy Team,c1104,1
44,9,Win,Enemy Team,c1150,1
45,2,Win,My Team,c2011,0
45,3,Win,My Team,c2106,0
45,6,Win,My Team,c2125,0
45,7,Win,My Team,c2004,0
45,10,Win,My Team,c1020,0
45,1,Loss,Enemy Team,c1150,1
45,4,Loss,Enemy Team,c5110,1
45,5,Loss,Enemy Team,c2112,1
45,8,Loss,Enemy Team,c6020,1
45,9,Loss,Enemy Team,c4158,1
46,2,Win,My Team,c1133,0
46,3,Win,My Team,c5046,0
46,6,Win,My Team,c2125,0
46,7,Win,My Team,c2007,0
46,10,Win,My Team,c2011,0
46,1,Loss,Enemy Team,c2112,1
46,4,Loss,Enemy Team,c1103,1
46,5,Loss,Enemy Team,c1162,1
46,8,Loss,Enemy Team,c1109,1
46,9,Loss,Enemy Team,c1151,1
47,2,Loss,My Team,c1133,0
47,3,Loss,My Team,c1055,0
47,6,Loss,My Team,c2112,0
47,7,Loss,My Team,c2127,0
47,10,Loss,My Team,c1142,0
47,1,Win,Enemy Team,c5110,1
47,4,Win,Enemy Team,c1117,1
47,5,Win,Enemy Team,c2113,1
47,8,Win,Enemy Team,c5016,1
47,9,Win,Enemy Team,c6037,1
48,2,Loss,My Team,c1171,0
48,3,Loss,My Team,c1076,0
48,6,Loss,My Team,c5001,0
48,7,Loss,My Team,c2074,0
48,10,Loss,My Team,c1104,0
48,1,Win,Enemy Team,c2113,1
48,4,Win,Enemy Team,c5110,1
48,5,Win,Enemy Team,c1153,1
48,8,Win,Enemy Team,c4158,1
48,9,Win,Enemy Team,c1137,1
49,2,Win,My Team,c2113,0
49,3,Win,My Team,c2070,0
49,6,Win,My Team,c2111,0
49,7,Win,My Team,c2126,0
49,10,Win,My Team,c2101,0
49,1,Loss,Enemy Team,c5110,1
49,4,Loss,Enemy Team,c2125,1
49,5,Loss,Enemy Team,c1156,1
49,8,Loss,Enemy Team,c1161,1
49,9,Loss,Enemy Team,c1159,1
50,2,Win,My Team,c1133,0
50,3,Win,My Team,c5110,0
50,6,Win,My Team,c2125,0
50,7,Win,My Team,c2102,0
50,10,Win,My Team,c2110,0
50,1,Loss,Enemy Team,c2112,1
50,4,Loss,Enemy Team,c1162,1
50,5,Loss,Enemy Team,c1070,1
50,8,Loss,Enemy Team,c1117,1
50,9,Loss,Enemy Team,c1104,1
51,2,Win,My Team,c2113,0
51,3,Win,My Team,c5110,0
51,6,Win,My Team,c1153,0
51,7,Win,My Team,c2070,0
51,10,Win,My Team,c2128,0
51,1,Loss,Enemy Team,c5001,1
51,4,Loss,Enemy Team,c1171,1
51,5,Loss,Enemy Team,c2111,1
51,8,Loss,Enemy Team,c2106,1
51,9,Loss,Enemy Team,c2011,1
52,2,Win,My Team,c5110,0
52,3,Win,My Team,c1133,0
52,6,Win,My Team,c2112,0
52,7,Win,My Team,c5046,0
52,10,Win,My Team,c2127,0
52,1,Loss,Enemy Team,c2125,1
52,4,Loss,Enemy Team,c2016,1
52,5,Loss,Enemy Team,c1070,1
52,8,Loss,Enemy Team,c1091,1
52,9,Loss,Enemy Team,c1055,1
53,2,Win,My Team,c1133,0
53,3,Win,My Team,c5110,0
53,6,Win,My Team,c2112,0
53,7,Win,My Team,c2011,0
53,10,Win,My Team,c1055,0
53,1,Loss,Enemy Team,c2125,1
53,4,Loss,Enemy Team,c2113,1
53,5,Loss,Enemy Team,c1117,1
53,8,Loss,Enemy Team,c2039,1
53,9,Loss,Enemy Team,c2106,1
54,2,Loss,My Team,c2113,0
54,3,Loss,My Team,c1070,0
54,6,Loss,My Team,c2023,0
54,7,Loss,My Team,c2106,0
54,10,Loss,My Team,c2070,0
54,1,Win,Enemy Team,c5001,1
54,4,Win,Enemy Team,c1171,1
54,5,Win,Enemy Team,c1153,1
54,8,Win,Enemy Team,c1148,1
54,9,Win,Enemy Team,c1132,1
55,2,Win,My Team,c5110,0
55,3,Win,My Team,c2070,0
55,6,Win,My Team,c1153,0
55,7,Win,My Team,c1146,0
55,10,Win,My Team,c1134,0
55,1,Loss,Enemy Team,c2113,1
55,4,Loss,Enemy Team,c2111,1
55,5,Loss,Enemy Team,c1156,1
55,8,Loss,Enemy Team,c1162,1
55,9,Loss,Enemy Team,c2079,1
56,2,Win,My Team,c2113,0
56,3,Win,My Team,c2070,0
56,6,Win,My Team,c2112,0
56,7,Win,My Team,c1055,0
56,10,Win,My Team,c1103,0
56,1,Loss,Enemy Team,c5110,1
56,4,Loss,Enemy Team,c1104,1
56,5,Loss,Enemy Team,c1162,1
56,8,Loss,Enemy Team,c2126,1
56,9,Loss,Enemy Team,c1112,1
57,2,Win,My Team,c2113,0
57,3,Win,My Team,c5110,0
57,6,Win,My Team,c1153,0
57,7,Win,My Team,c2070,0
57,10,Win,My Team,c2128,0
57,1,Loss,Enemy Team,c2125,1
57,4,Loss,Enemy Team,c5001,1
57,5,Loss,Enemy Team,c2111,1
57,8,Loss,Enemy Team,c2074,1
57,9,Loss,Enemy Team,c1022,1
58,2,Win,My Team,c1133,0
58,3,Win,My Team,c5046,0
58,6,Win,My Team,c2112,0
58,7,Win,My Team,c2088,0
58,10,Win,My Team,c5110,0
58,1,Loss,Enemy Team,c2125,1
58,4,Loss,Enemy Team,c2016,1
58,5,Loss,Enemy Team,c1112,1
58,8,Loss,Enemy Team,c1102,1
58,9,Loss,Enemy Team,c2128,1
59,2,Loss,My Team,c2112,0
59,3,Loss,My Team,c2111,0
59,6,Loss,My Team,c5110,0
59,7,Loss,My Team,c2106,0
59,10,Loss,My Team,c1055,0
59,1,Win,Enemy Team,c2125,1
59,4,Win,Enemy Team,c2101,1
59,5,Win,Enemy Team,c1142,1
59,8,Win,Enemy Team,c1070,1
59,9,Win,Enemy Team,c2039,1
60,2,Win,My Team,c1133,0
60,3,Win,My Team,c5110,0
60,6,Win,My Team,c2112,0
60,7,Win,My Team,c2127,0
60,10,Win,My Team,c2004,0
60,1,Loss,Enemy Team,c5001,1
60,4,Loss,Enemy Team,c2113,1
60,5,Loss,Enemy Team,c2111,1
60,8,Loss,Enemy Team,c1148,1
60,9,Loss,Enemy Team,c1125,1
61,2,Win,My Team,c2112,0
61,3,Win,My Team,c2004,0
61,6,Win,My Team,c1133,0
61,7,Win,My Team,c1055,0
61,10,Win,My Team,c2102,0
61,1,Loss,Enemy Team,c5110,1
61,4,Loss,Enemy Team,c1150,1
61,5,Loss,Enemy Team,c2024,1
61,8,Loss,Enemy Team,c4158,1
61,9,Loss,Enemy Team,c2011,1
62,2,Win,My Team,c2112,0
62,3,Win,My Team,c2111,0
62,6,Win,My Team,c5110,0
62,7,Win,My Team,c2047,0
62,10,Win,My Team,c2007,0
62,1,Loss,Enemy Team,c2125,1
62,4,Loss,Enemy Team,c1103,1
62,5,Loss,Enemy Team,c1142,1
62,8,Loss,Enemy Team,c1150,1
62,9,Loss,Enemy Team,c5046,1
63,2,Win,My Team,c2112,0
63,3,Win,My Team,c5110,0
63,6,Win,My Team,c2004,0
63,7,Win,My Team,c1014,0
63,10,Win,My Team,c1020,0
63,1,Loss,Enemy Team,c1150,1
63,4,Loss,Enemy Team,c2011,1
63,5,Loss,Enemy Team,c2082,1
63,8,Loss,Enemy Team,c1007,1
63,9,Loss,Enemy Team,c1065,1
64,2,Loss,My Team,c2113,0
64,3,Loss,My Team,c1171,0
64,6,Loss,My Team,c4004,0
64,7,Loss,My Team,c2112,0
64,10,Loss,My Team,c2111,0
64,1,Win,Enemy Team,c5001,1
64,4,Win,Enemy Team,c1076,1
64,5,Win,Enemy Team,c2101,1
64,8,Win,Enemy Team,c2126,1
64,9,Win,Enemy Team,c1102,1
65,2,Win,My Team,c2126,0
65,3,Win,My Team,c5110,0
65,6,Win,My Team,c2042,0
65,7,Win,My Team,c1171,0
65,10,Win,My Team,c2070,0
65,1,Loss,Enemy Team,c2125,1
65,4,Loss,Enemy Team,c1104,1
65,5,Loss,Enemy Team,c2111,1
65,8,Loss,Enemy Team,c5016,1
65,9,Loss,Enemy Team,c5004,1
66,2,Loss,My Team,c2112,0
66,3,Loss,My Team,c1150,0
66,6,Loss,My Team,c2011,0
66,7,Loss,My Team,c1014,0
66,10,Loss,My Team,c2007,0
66,1,Win,Enemy Team,c5110,1
66,4,Win,Enemy Team,c1103,1
66,5,Win,Enemy Team,c1125,1
66,8,Win,Enemy Team,c1070,1
66,9,Win,Enemy Team,c2128,1
67,2,Win,My Team,c2125,0
67,3,Win,My Team,c2101,0
67,6,Win,My Team,c2070,0
67,7,Win,My Team,c2023,0
67,10,Win,My Team,c4158,0
67,1,Loss,Enemy Team,c1076,1
67,4,Loss,Enemy Team,c5001,1
67,5,Loss,Enemy Team,c1171,1
67,8,Loss,Enemy Team,c2089,1
67,9,Loss,Enemy Team,c1104,1
68,2,Win,My Team,c2112,0
68,3,Win,My Team,c1055,0
68,6,Win,My Team,c2111,0
68,7,Win,My Team,c2004,0
68,10,Win,My Team,c1014,0
68,1,Loss,Enemy Team,c5110,1
68,4,Loss,Enemy Team,c2125,1
68,5,Loss,Enemy Team,c2024,1
68,8,Loss,Enemy Team,c5046,1
68,9,Loss,Enemy Team,c1007,1
69,2,Loss,My Team,c2112,0
69,3,Loss,My Team,c5110,0
69,6,Loss,My Team,c2125,0
69,7,Loss,My Team,c2128,0
69,10,Loss,My Team,c2047,0
69,1,Win,Enemy Team,c1133,1
69,4,Win,Enemy Team,c5046,1
69,5,Win,Enemy Team,c1142,1
69,8,Win,Enemy Team,c1150,1
69,9,Win,Enemy Team,c1055,1
70,2,Loss,My Team,c2125,0
70,3,Loss,My Team,c1076,0
70,6,Loss,My Team,c2042,0
70,7,Loss,My Team,c2101,0
70,10,Loss,My Team,c2074,0
70,1,Win,Enemy Team,c2113,1
70,4,Win,Enemy Team,c1070,1
70,5,Win,Enemy Team,c2016,1
70,8,Win,Enemy Team,c2073,1
70,9,Win,Enemy Team,c2070,1
71,2,Win,My Team,c2112,0
71,3,Win,My Team,c5110,0
71,6,Win,My Team,c2125,0
71,7,Win,My Team,c2004,0
71,10,Win,My Team,c1014,0
71,1,Loss,Enemy Team,c2016,1
71,4,Loss,Enemy Team,c1171,1
71,5,Loss,Enemy Team,c2024,1
71,8,Loss,Enemy Team,c1112,1
71,9,Loss,Enemy Team,c2111,1
72,2,Win,My Team,c2125,0
72,3,Win,My Team,c5110,0
72,6,Win,My Team,c2047,0
72,7,Win,My Team,c5046,0
72,10,Win,My Team,c4158,0
72,1,Loss,Enemy Team,c2112,1
72,4,Loss,Enemy Team,c1133,1
72,5,Loss,Enemy Team,c1142,1
72,8,Loss,Enemy Team,c2127,1
72,9,Loss,Enemy Team,c2069,1
73,2,Win,My Team,c2112,0
