Hero,Winrate,Pick Rate,Counter1,Counter1_Wins,Counter2,Counter2_Wins,Counter3,Counter3_Wins,Pick1,Pick1_Count,Pick2,Pick2_Count,Pick3,Pick3_Count,CounteredBy1,CounteredBy1_Count,CounteredBy2,CounteredBy2_Count,CounteredBy3,CounteredBy3_Count
c2031,0.0,0.00010638297872340425,c5110,1,c2090,1,c6017,1,c2125,1,c2066,1,c1142,1,c2039,20,c1156,19,c2016,19
c1038,0.6428571428571429,0.0014893617021276596,c2128,10,c2011,5,c2106,5,c1150,10,c5110,7,c2112,5,c2039,10,c2113,10,c5110,8
c1089,0.6060606060606061,0.007021276595744681,c2125,19,c1159,18,c2090,17,c2113,21,c2128,18,c2090,16,c2113,28,c2090,26,c2126,22
c2004,0.5916398713826366,0.03308510638297872,c1150,188,c5110,99,c2125,94,c5110,132,c2125,109,c1142,77,c1150,195,c2011,102,c5110,100
c2099,0.4,0.0005319148936170213,c2090,3,c1162,2,c2101,2,c2090,2,c5110,2,c2125,2,c2090,9,c1159,8,c1156,5
c1155,0.0,0.00010638297872340425,c2113,1,c1159,1,c2090,1,c2128,1,c5004,1,c2125,1,c2090,2,c1162,1,c1153,1
c1096,0.5714285714285714,0.0007446808510638298,c2113,5,c2090,4,c1156,3,c2125,3,c1142,3,c2128,2,c2113,16,c5110,15,c1156,11
c1101,0.25,0.000425531914893617,c2125,2,c2128,2,c1150,2,c2066,2,c2112,2,c2125,1,c2066,4,c5110,4,c2125,3
c1131,0.5507246376811594,0.0073404255319148935,c1162,35,c1153,23,c2128,20,c2113,31,c1117,21,c1008,20,c1162,15,c2125,14,c1153,11
c1091,0.6226415094339622,0.016914893617021278,c2024,71,c1150,56,c2011,55,c2128,58,c2113,40,c2066,39,c2024,53,c2011,48,c1150,46
c2112,0.5579847908745247,0.11191489361702128,c2125,397,c5110,330,c1150,247,c2011,317,c1055,313,c1150,223,c2125,458,c5110,378,c2128,345
c2013,0.6818181818181818,0.007021276595744681,c5110,23,c2011,17,c1153,17,c2125,63,c2090,26,c2165,22,c2113,20,c1150,18,c1153,18
c1008,0.6521739130434783,0.0073404255319148935,c2125,25,c5110,24,c2128,20,c1117,45,c2126,34,c2113,33,c2113,11,c5110,10,c2125,9
c1128,0.5510204081632653,0.005212765957446809,c2090,31,c1162,26,c1156,19,c2125,32,c2113,24,c2128,11,c2090,18,c1162,16,c1060,10
c1127,0.5333333333333333,0.0015957446808510637,c1055,5,c2126,5,c1091,5,c2128,7,c2125,5,c2112,5,c2128,9,c2112,7,c1150,6
c1118,0.4873417721518987,0.01680851063829787,c2125,54,c5110,43,c2128,40,c1150,65,c2102,59,c2112,58,c2125,58,c1150,46,c5110,39
c4123,0.3939393939393939,0.0035106382978723405,c2066,14,c1104,12,c2125,8,c2011,20,c1117,19,c1150,10,c2011,11,c5110,11,c2090,11
c2054,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c2066,4,c5110,4,c1159,4
c4144,0.5185185185185185,0.002872340425531915,c2090,10,c5110,9,c1151,7,c1159,8,c2125,6,c2112,6,c2125,18,c2113,16,c1151,13
c1132,0.7692307692307693,0.0013829787234042553,c4158,7,c2039,6,c2125,4,c1162,5,c5110,4,c2113,3,c1150,3,c4158,3,c1159,3
c6014,0.5,0.0002127659574468085,c1162,1,c2090,1,c1156,1,c2039,2,c1055,1,c1126,1,c2125,3,c2090,3,c1150,2
c2072,0.8461538461538461,0.0013829787234042553,c2090,9,c1156,9,c1159,6,c2125,12,c1128,7,c2011,6,c1159,4,c5110,2,c1156,2
c1109,0.0,0.0002127659574468085,c2125,1,c2106,1,c2074,1,c2090,1,c1156,1,c1159,1,c2125,3,c2101,3,c2066,2
c2002,0.5909090909090909,0.011702127659574468,c1162,39,c1060,34,c1153,30,c2125,72,c2090,66,c2101,23,c2113,40,c2090,38,c2125,29
c1135,0.3333333333333333,0.00031914893617021275,c2090,3,c2112,2,c2016,1,c2113,3,c2125,1,c2126,1,c2011,6,c2090,6,c1162,5
c1007,0.6103896103896104,0.008191489361702128,c2004,38,c5110,32,c1020,27,c1150,38,c2004,27,c1014,20,c1150,40,c5110,39,c2004,38
c1020,0.5663716814159292,0.01202127659574468,c2004,52,c1150,44,c5110,43,c5110,50,c2004,49,c1150,46,c1150,37,c2004,35,c2125,28
c2023,0.375,0.000851063829787234,c2125,5,c1150,2,c2011,2,c5110,3,c2011,3,c1117,3,c2125,6,c2113,5,c2090,5
c1065,0.56,0.0026595744680851063,c1020,15,c1150,13,c2004,11,c2004,14,c5110,10,c1150,9,c1020,18,c1150,13,c5110,12
c6020,0.625,0.006808510638297872,c5110,26,c2004,22,c1150,18,c2128,42,c1125,35,c1150,34,c5110,19,c2004,16,c2125,14
c1076,0.7272727272727273,0.001170212765957447,c1153,4,c2113,3,c2126,3,c2090,5,c2113,4,c2125,3,c2113,5,c1153,4,c1159,3
c1102,0.5942028985507246,0.0073404255319148935,c5004,44,c2125,29,c2090,18,c2113,29,c5110,23,c1162,21,c5004,26,c2125,20,c2111,19
c1154,0.8571428571428571,0.0007446808510638298,c2112,4,c2011,3,c4158,3,c2126,4,c2113,4,c5111,2,c1055,9,c2039,6,c2113,5
c5016,0.5714285714285714,0.0014893617021276596,c5110,8,c2112,8,c2066,7,c2128,10,c5004,9,c2125,7,c2066,3,c5110,2,c2011,2
c2079,0.5555555555555556,0.0019148936170212765,c1134,8,c2112,6,c2111,5,c5110,11,c2113,5,c2090,5,c2090,20,c1134,20,c1162,14
c1113,0.42857142857142855,0.0007446808510638298,c2090,4,c1156,3,c1159,3,c1153,4,c1162,3,c2113,3,c1162,5,c1153,5,c2113,5
c1141,0.6666666666666666,0.001276595744680851,c2113,6,c2090,5,c1162,5,c1153,6,c1060,5,c2113,4,c1162,3,c2113,3,c1100,2
c1048,0.6875,0.001702127659574468,c2090,10,c2039,9,c2101,7,c1159,10,c5110,10,c1151,10,c2090,9,c2113,4,c1156,4
c2046,0.6,0.002127659574468085,c2090,11,c1159,9,c5110,8,c2113,11,c2090,7,c2125,7,c2090,13,c1159,11,c2125,9
c4005,0.5263157894736842,0.002021276595744681,c2125,13,c2074,12,c2128,7,c1153,11,c1162,8,c1104,8,c5110,11,c2125,10,c2090,9
c4004,0.5185185185185185,0.002872340425531915,c1055,13,c2125,11,c1162,8,c2090,15,c2101,15,c1159,10,c2113,15,c2090,11,c2039,6
c5111,0.5135135135135135,0.003936170212765958,c2112,20,c1150,12,c2011,12,c2126,16,c2113,11,c2095,10,c2090,12,c2112,12,c2113,10
c2071,0.6,0.0015957446808510637,c2125,5,c2039,4,c1117,4,c2113,8,c2101,5,c2090,4,c2113,11,c2090,7,c2128,6
c2006,0.4166666666666667,0.001276595744680851,c4158,6,c2125,4,c5110,4,c2011,5,c1150,5,c2024,5,c1156,11,c2039,10,c2090,8
c2062,0.48148148148148145,0.002872340425531915,c2039,12,c2128,9,c2113,8,c2011,11,c1103,8,c2125,7,c2039,12,c2113,11,c2011,11
c1094,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c5110,1,c2039,1,c2125,1
c1030,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c1159,2,c2090,2,c1150,1
