Match Number,Pick Order,Match Result,Team,Hero,First Pick
27,5,Loss,Enemy Team,c2024,1
27,8,Loss,Enemy Team,c4158,1
27,9,Loss,Enemy Team,c1020,1
28,1,Win,My Team,c2066,1
28,4,Win,My Team,c2008,1
28,5,Win,My Team,c2101,1
28,8,Win,My Team,c1159,1
28,9,Win,My Team,c2088,1
28,2,Loss,Enemy Team,c2113,0
28,3,Loss,Enemy Team,c2106,0
28,6,Loss,Enemy Team,c6017,0
28,7,Loss,Enemy Team,c1151,0
28,10,Loss,Enemy Team,c2016,0
29,1,Loss,My Team,c2113,1
29,4,Loss,My Team,c2095,1
29,5,Loss,My Team,c1153,1
29,8,Loss,My Team,c4158,1
29,9,Loss,My Team,c1151,1
29,2,Win,Enemy Team,c2066,0
29,3,Win,Enemy Team,c2042,0
29,6,Win,Enemy Team,c1148,0
29,7,Win,Enemy Team,c2011,0
29,10,Win,Enemy Team,c1104,0
30,1,Loss,My Team,c2042,1
30,4,Loss,My Team,c2039,1
30,5,Loss,My Team,c2073,1
30,8,Loss,My Team,c4158,1
30,9,Loss,My Team,c1132,1
30,2,Win,Enemy Team,c2095,0
30,3,Win,Enemy Team,c2106,0
30,6,Win,Enemy Team,c1153,0
30,7,Win,Enemy Team,c2011,0
30,10,Win,Enemy Team,c1100,0
31,1,Win,My Team,c2113,1
31,4,Win,My Team,c1055,1
31,5,Win,My Team,c2112,1
31,8,Win,My Team,c1151,1
31,9,Win,My Team,c2046,1
31,2,Loss,Enemy Team,c2095,0
31,3,Loss,Enemy Team,c1019,0
31,6,Loss,Enemy Team,c5111,0
31,7,Loss,Enemy Team,c1103,0
31,10,Loss,Enemy Team,c2042,0
32,1,Loss,My Team,c2113,1
32,4,Loss,My Team,c2008,1
32,5,Loss,My Team,c1117,1
32,8,Loss,My Team,c1055,1
32,9,Loss,My Team,c6017,1
32,2,Win,Enemy Team,c2066,0
32,3,Win,Enemy Team,c1159,0
32,6,Win,Enemy Team,c2070,0
32,7,Win,Enemy Team,c2101,0
32,10,Win,Enemy Team,c2016,0
33,2,Win,My Team,c2113,0
33,3,Win,My Team,c2066,0
33,6,Win,My Team,c2095,0
33,7,Win,My Team,c2070,0
33,10,Win,My Team,c1104,0
33,1,Loss,Enemy Team,c5110,1
33,4,Loss,Enemy Team,c2073,1
33,5,Loss,Enemy Team,c1153,1
33,8,Loss,Enemy Team,c2009,1
33,9,Loss,Enemy Team,c1022,1
34,1,Loss,My Team,c5110,1
34,4,Loss,My Team,c2106,1
34,5,Loss,My Team,c1022,1
34,8,Loss,My Team,c2039,1
34,9,Loss,My Team,c4158,1
34,2,Win,Enemy Team,c1153,0
34,3,Win,Enemy Team,c1133,0
34,6,Win,Enemy Team,c2069,0
34,7,Win,Enemy Team,c2066,0
34,10,Win,Enemy Team,c1151,0
35,2,Win,My Team,c2113,0
35,3,Win,My Team,c1159,0
35,6,Win,My Team,c2089,0
35,7,Win,My Team,c1150,0
35,10,Win,My Team,c2102,0
35,1,Loss,Enemy Team,c2066,1
35,4,Loss,Enemy Team,c2112,1
35,5,Loss,Enemy Team,c2011,1
35,8,Loss,Enemy Team,c1103,1
35,9,Loss,Enemy Team,c2109,1
36,2,Win,My Team,c2070,0
36,3,Win,My Team,c5110,0
36,6,Win,My Team,c2073,0
36,7,Win,My Team,c1022,0
36,10,Win,My Team,c4158,0
36,1,Loss,Enemy Team,c2113,1
36,4,Loss,Enemy Team,c2095,1
36,5,Loss,Enemy Team,c2111,1
36,8,Loss,Enemy Team,c1055,1
36,9,Loss,Enemy Team,c2039,1
37,2,Win,My Team,c2070,0
37,3,Win,My Team,c5110,0
37,6,Win,My Team,c2095,0
37,7,Win,My Team,c1022,0
37,10,Win,My Team,c2073,0
37,1,Loss,Enemy Team,c2113,1
37,4,Loss,Enemy Team,c1153,1
37,5,Loss,Enemy Team,c2111,1
37,8,Loss,Enemy Team,c4144,1
37,9,Loss,Enemy Team,c2038,1
38,2,Win,My Team,c2113,0
38,3,Win,My Team,c2070,0
38,6,Win,My Team,c2111,0
38,7,Win,My Team,c2073,0
38,10,Win,My Team,c2039,0
38,1,Loss,Enemy Team,c5110,1
38,4,Loss,Enemy Team,c2095,1
38,5,Loss,Enemy Team,c1153,1
38,8,Loss,Enemy Team,c2106,1
38,9,Loss,Enemy Team,c1104,1
39,1,Win,My Team,c2042,1
39,4,Win,My Team,c2039,1
39,5,Win,My Team,c1153,1
39,8,Win,My Team,c4158,1
39,9,Win,My Team,c2024,1
39,2,Loss,Enemy Team,c2070,0
39,3,Loss,Enemy Team,c2095,0
39,6,Loss,Enemy Team,c5111,0
39,7,Loss,Enemy Team,c2007,0
39,10,Loss,Enemy Team,c1150,0
40,1,Win,My Team,c2113,1
40,4,Win,My Team,c2039,1
40,5,Win,My Team,c1153,1
40,8,Win,My Team,c2073,1
40,9,Win,My Team,c2022,1
40,2,Loss,Enemy Team,c1089,0
40,3,Loss,Enemy Team,c1163,0
40,6,Loss,Enemy Team,c2095,0
40,7,Loss,Enemy Team,c2048,0
40,10,Loss,Enemy Team,c2101,0
41,2,Win,My Team,c5110,0
41,3,Win,My Team,c2070,0
41,6,Win,My Team,c2095,0
41,7,Win,My Team,c1022,0
41,10,Win,My Team,c2023,0
41,1,Loss,Enemy Team,c2113,1
41,4,Loss,Enemy Team,c2073,1
41,5,Loss,Enemy Team,c1153,1
41,8,Loss,Enemy Team,c2101,1
41,9,Loss,Enemy Team,c2074,1
42,2,Win,My Team,c2066,0
42,3,Win,My Team,c5110,0
42,6,Win,My Team,c2042,0
42,7,Win,My Team,c2039,0
42,10,Win,My Team,c1129,0
42,1,Loss,Enemy Team,c2113,1
42,4,Loss,Enemy Team,c2070,1
42,5,Loss,Enemy Team,c2095,1
42,8,Loss,Enemy Team,c2101,1
42,9,Loss,Enemy Team,c2089,1
43,2,Win,My Team,c5110,0
43,3,Win,My Team,c2042,0
43,6,Win,My Team,c2095,0
43,7,Win,My Team,c1022,0
43,10,Win,My Team,c2023,0
43,1,Loss,Enemy Team,c2113,1
43,4,Loss,Enemy Team,c2070,1
43,5,Loss,Enemy Team,c1153,1
43,8,Loss,Enemy Team,c2088,1
43,9,Loss,Enemy Team,c2111,1
44,2,Loss,My Team,c2112,0
44,3,Loss,My Team,c2113,0
44,6,Loss,My Team,c2004,0
44,7,Loss,My Team,c1055,0
44,10,Loss,My Team,c6017,0
44,1,Win,Enemy Team,c2066,1
44,4,Win,Enemy Team,c1117,1
44,5,Win,Enemy Team,c1163,1
44,8,Win,Enemy Team,c1103,1
44,9,Win,Enemy Team,c1089,1
45,2,Loss,My Team,c2095,0
45,3,Loss,My Team,c2011,0
45,6,Loss,My Team,c1153,0
45,7,Loss,My Team,c2039,0
45,10,Loss,My Team,c2073,0
45,1,Win,Enemy Team,c2113,1
45,4,Win,Enemy Team,c2042,1
45,5,Win,Enemy Team,c1091,1
45,8,Win,Enemy Team,c1104,1
45,9,Win,Enemy Team,c2024,1
46,1,Win,My Team,c2066,1
46,4,Win,My Team,c2008,1
46,5,Win,My Team,c2101,1
46,8,Win,My Team,c1022,1
46,9,Win,My Team,c2023,1
46,2,Loss,Enemy Team,c2113,0
46,3,Loss,Enemy Team,c1117,0
46,6,Loss,Enemy Team,c6017,0
46,7,Loss,Enemy Team,c1156,0
46,10,Loss,Enemy Team,c2111,0
47,2,Loss,My Team,c2113,0
47,3,Loss,My Team,c1159,0
47,6,Loss,My Team,c2089,0
47,7,Loss,My Team,c2095,0
47,10,Loss,My Team,c1151,0
47,1,Win,Enemy Team,c2066,1
47,4,Win,Enemy Team,c2008,1
47,5,Win,Enemy Team,c2101,1
47,8,Win,Enemy Team,c1117,1
47,9,Win,Enemy Team,c1022,1
48,1,Loss,My Team,c2113,1
48,4,Loss,My Team,c2042,1
48,5,Loss,My Team,c1153,1
48,8,Loss,My Team,c4158,1
48,9,Loss,My Team,c1151,1
48,2,Win,Enemy Team,c2095,0
48,3,Win,Enemy Team,c2066,0
48,6,Win,Enemy Team,c2011,0
48,7,Win,Enemy Team,c5111,0
48,10,Win,Enemy Team,c2070,0
49,1,Win,My Team,c2113,1
49,4,Win,My Team,c2070,1
49,5,Win,My Team,c1153,1
49,8,Win,My Team,c1055,1
49,9,Win,My Team,c4158,1
49,2,Loss,Enemy Team,c2042,0
49,3,Loss,Enemy Team,c2095,0
49,6,Loss,Enemy Team,c1134,0
49,7,Loss,Enemy Team,c1133,0
49,10,Loss,Enemy Team,c1104,0
50,2,Win,My Team,c2066,0
50,3,Win,My Team,c1159,0
50,6,Win,My Team,c2008,0
50,7,Win,My Team,c2023,0
50,10,Win,My Team,c2101,0
50,1,Loss,Enemy Team,c2113,1
50,4,Loss,Enemy Team,c2070,1
50,5,Loss,Enemy Team,c6017,1
50,8,Loss,Enemy Team,c1104,1
50,9,Loss,Enemy Team,c1148,1
51,2,Win,My Team,c1153,0
51,3,Win,My Team,c2039,0
51,6,Win,My Team,c2073,0
51,7,Win,My Team,c2011,0
51,10,Win,My Team,c1055,0
51,1,Loss,Enemy Team,c2113,1
51,4,Loss,Enemy Team,c2070,1
51,5,Loss,Enemy Team,c2095,1
51,8,Loss,Enemy Team,c1151,1
51,9,Loss,Enemy Team,c1156,1
52,1,Win,My Team,c2113,1
52,4,Win,My Team,c2039,1
52,5,Win,My Team,c1153,1
52,8,Win,My Team,c1055,1
52,9,Win,My Team,c2011,1
52,2,Loss,Enemy Team,c1089,0
52,3,Loss,Enemy Team,c1022,0
52,6,Loss,Enemy Team,c2095,0
52,7,Loss,Enemy Team,c2073,0
52,10,Loss,Enemy Team,c1150,0
53,2,Loss,My Team,c2112,0
53,3,Loss,My Team,c2042,0
53,6,Loss,My Team,c1150,0
53,7,Loss,My Team,c1055,0
53,10,Loss,My Team,c4158,0
53,1,Win,Enemy Team,c2113,1
53,4,Win,Enemy Team,c2106,1
53,5,Win,Enemy Team,c2011,1
53,8,Win,Enemy Team,c1103,1
53,9,Win,Enemy Team,c6037,1
54,1,Loss,My Team,c2066,1
54,4,Loss,My Team,c2070,1
54,5,Loss,My Team,c1153,1
54,8,Loss,My Team,c4158,1
54,9,Loss,My Team,c1150,1
54,2,Win,Enemy Team,c2042,0
54,3,Win,Enemy Team,c2095,0
54,6,Win,Enemy Team,c6017,0
54,7,Win,Enemy Team,c1055,0
54,10,Win,Enemy Team,c1104,0
55,2,Win,My Team,c1153,0
